,원문,번역문
33,남북정상회담을 계기로 남북 경제공동체 논의도 물꼬를 트기 시작했지만 여전히 남북 경제협력을 둘러싼 담론은 구체적 계획 없이 비전 제시에만 머물러 있는 것이 사실이다.,"Discussions of the inter-Korean economic community have also begun to open the door in the wake of the inter-Korean summit, but it is still true that the discourse over inter-Korean economic cooperation remains only in place of vision, without any concrete plans."
34,어거스틴은 여기서 그것이 어떻게 가능한가를 신약으로 끌고 옵니다.,Augustine brings how it is possible here to the New Testament.
35,나 자신의 황금비율은 개성이자 색깔이 될 것입니다.,"Believe in my own golden ratio, it will be individual and color."
36,"그렇군요, 치료비는 카드로 결제할게요.","Sure, I will pay with a card."
37,손님들이 줄을 서는 기적이 일어나자 모두들 기쁨을 감추지 못했다.,"There happened a miracle that the guests were standing in line, everyone could not hide their joy."
38,네가 카레를 좋아하는데 카레 집이 새로 생겼다니 한번 가보고 싶어요.,I know you like curry and since there's a new curry restaurant I want to go try it.
39,경찰은 결백하다는 박유천과 마약을 함께 투약했다는 황하나를 함께 조사해 어느 쪽의 말이 맞는지 가려낼 계획이다.,"The police plan to investigate Park Yoo-chun, who said that he is innocent, and Hwang Ha-na, who said that they took drugs together, to see who is right."
40,오늘을 기준으로 이민 비자의 발급이 가능하게 되었다.,"From today, immigrant visas can be issued."
41,이는 인도 채권에서 1억달러가 순유출된 것과는 대조적이다.,This is in contrast to a net outflow of $100 million from Indian bonds.
42,"영어학습센터는 영어권 문화를 직접 체험할 수 있도록 읽기, 듣기, 말하기 위주의 학습을 제공하는 체험 프로그램과 영어도서의 열람·대출 및 영어도서를 활용한 독서지수 측정, 도서 권장 등 독서프로그램 등을 운영한다.","The English Learning Center operates an experience program that provides reading, listening, and speaking-oriented learning to directly experience the English-speaking culture, reading and loaning of English books, reading index measurement using English books, and reading programs such as recommending books."
43,금강산관광 시작 20주년 기념 남북공동행사 참석차 북한을 방문한 현정은 현대그룹 회장이 18일 금강산호텔에서 리택건 북한 아시아태평양평화위원회 부위원장과 만나 악수하고 있다.,"Hyundai Group Chairwoman Hyun Jeong-eun shakes hands with Ri Taek-gun, Vice Chairman of the North Korea Asia-Pacific Peace Committee, at the Geumgangsan Hotel on the 18th during her visit to North Korea to attend a joint inter-Korean event marking the 20th anniversary of the start of the Geumgangsan tour."
44,"인구주택총조사의 전수 및 표본자료 등의 분석을 통해 나타난 2000∼2010년 사이 경기도의 주요 사회적 특성을 살펴보면, 여성의 학력이 과거에 비해 크게 높아지면서 여성경제활동인구가 2000년 24.5%에서 2010년 45.4%로 증가했다.","Looking at the major social characteristics of Gyeonggi Province between 2000 and 2010, which were shown through analysis of the complete enumeration survey and sample data of population housing surveys, the number of economically active women increased from 24.5 % in 2000 to 45.4 % in 2010."
45,이들 외에 미드필더 자원은 1m70과 1m72 단신으로 몸싸움이 불리한 이승우(20·헬라스 베로나)와 문선민(26·인천 유나이티드) 밖에 없다.,"The only other midfielders are Lee Seung-woo (20, Hellas Verona) and Moon Sun-min (26, Incheon United), who are not physically able to compete with due to their shortness of 1 meter 70 and 1 meter 72."
46,딜에 성공했다고 하더라도 승자의 저주에 빠질 위험이 있고 경쟁에서 이기지 못했을 경우 내외부의 부정적인 시각과 기회비용 등 재무적 부담까지 져야 한다.,"Even if one succeeds in the deal, there is a risk of falling into the winner's curse, and if one does not win the competition, one has to deal with the negative view from inside and outside as well as the financial burdens such as opportunity costs."
47,"제1항에 따라 종량제폐기물을 배출하는 자에게 수수료를 감면할 때에는 생활폐기물용 및 음식물류폐기물봉투를 가구당 매월 120리터를 초과하지 않는 범위에서 무료로 지급한다. 다만, 1인 가구에 대하여는 매월 60리터 범위에서 지급할 수 있다.","Where the reduction of the fees of persons discharging the standard waste under paragraph (1), the domestic waste bags and food waste bags shall be provided free of charge within the extent not exceeding 120 liters per month per household: Provided, That they may be provided within 60 liters per month for one person household."
48,전 오늘 종일 초조함을 느껴요.,I feel on edge all day today.
49,"다만, 이런 추세가 장기적으로 이어질지는 미지수라는 설명도 많다.","However, there are many explanations that this trend will lead to the long term."
50,지난주 말 유류세 인상과 부자감세 정책에 반대하는 대규모 시위가 발생한 지 사흘 만에 내린 결정이다.,The decision came three days after massive protests erupted during last weekend against the oil tax hike and the policy of lower taxes on the rich.
51,"그분에게 못다 한 얘기를 들려드리며, 저세상의 망자와 이 세상의 자손이 촛불과 향을 사이에 두고 서로 삶과 죽음을 나누는 행위가 제사의 가치라는 생각도 한다.",I think it is the value of sacrifice to tell him something I cannot do and share life and death between the dead of the next world and the descendants of this world with candles and incense.
52,"제가 싱글룸을 예약했는데, 더블룸으로 변경하고 싶어요.","I reserved a single room, but I want to change it to a double room."
53,"수사물이라는 면에서 이 영화가 가지는 가장 독특한 점은, 형사 김형민이 찾는 것이 범인이 아닌 범인 강태오가 저질렀다고 털어놓는 범행 그 자체라는 점이다.","The most unique thing about this investigation movie is that the detective Kim Hyung-min is not looking for the culprit, but the crime that the culprit Kang Tae-oh confesses to have committed."
54,석종훈 중소벤처기업부 창업벤처혁신실장은 “일자리 창출 성장지원 펀드가 좋은 일자리 창출과 혁신·벤처기업의 지속성장에 기여할 것”이라고 말했다.,"Jong-hoon Seok, Head of Startup Venture Innovation Division, Ministry of Small and Medium Venture Business, said, “The job creation growth support fund will contribute to the creation of good jobs and the sustainable growth of innovative and venture companies.”"
55,스스로를 불운하다고 말하는 이들은 “금수저로 태어난 건 운이 좋아서 그 집안에서 태어난 것이기 때문에 성공에는 운이 있어야 한다고 생각한다”라고 말했다.,"Those who said that they were unluckly themselves, said that ""people who were born with the silver spoon in their mouth were fortunate enough to be born to rich families, so success needs luck."""
56,이미 1일 만세운동을 진압한 경험이 있는 일경은 이번에는 초반부터 강경 대응에 나섰지만 학생들은 저지선을 뚫고 가열차게 행진하였다.,"The Japanese police, who had already suppressed the 1-day long-lived movement, strongly responded from the beginning, but the students marched through the police line."
57,"신한금융이 컨소시엄에서 빠지면서 해외 벤처캐피털 자본을 끌어들인 데 대해 부정적인 여론이 있었지만, 결정적 요인으로 작용했는지는 의문이다.","There have been negative public opinions about Shinhan Financial's withdrawal from the consortium, drawing in capital from overseas venture capital, but it is questionable whether it acted as a decisive factor."
58,"이 정도 세기면 적당한가요, 아니면 더 세게 해드릴까요?","Is it okay now, or do you want it to be stronger?"
59,"민정당 대선후보였던 노태우가 직접 읽은 원본은 아니지만, 당시 당 대표 특별보좌역이었던 이병기가 펜으로 직접 쓴 것을 복사한 30부 가운데 하나다.","It is not the original copy read by Roh Tae-woo, a presidential candidate of the Democratic Justice Party at that time, but it is one of the 30 copies that Lee Byung-kee, a special aide to the party's leader at the time, wrote in person with a pen."
60,"회사든 점포든, 밖이 밝든지 어둡든지 일을 할 때는 계속 불을 켜 놓고 해야 할 것이고 가정 조명을 생각해도 항상 집에 누군가가 있다면 전기를 사용하고 있을 것이다.","Whether it's a company or a store, bright or dark outdoors, you'll have to keep the lights on when you work. You'll always be using electricity if you have someone in your house."
61,최근 제천지역에서 불거진 충북선 철도 고속화 사업의 제천 패싱 논란과 관련해 이시종 지사가 말문을 열었다.,"Governor Lee Si-jong recently opened a speech regarding the controversial Jecheon passing of the Chungbuk Line speeding-up project, which was launched in Jecheon."
62,"의회의원이 패용하는 배지는 휘장의 모형으로 하되 그 모형 및 색상, 규격, 재료 및 방법은 별표 3과 같다.","The badge used by the members of the Council shall be a model of the insignia, and the model, color, specifications, materials, and methods thereof shall be as specified in attached Table 3."
63,전에 당신을 어디서 뵌 적이 있었지요.,I've seen you somewhere before.
64,법원의 실형 선고에도 불구하고 워마드의 몰카 논란이 계속되고 있다.,"Despite the court's prison sentence, the controversy in Womad's hidden camera continues."
65,실제로 미국 주요 방송사와 신문 등은 북·미 정상이 만나는 순간에도 이 장면 대신 코언 청문회를 톱뉴스로 다뤘다.,"In fact, major U.S. broadcasters and newspapers covered the Cohen hearing as a top news item in lieu of this scene even when the leaders of North Korea and the U.S. met."
66,바로 이런 작업들 속에서도 한인 기술자들이 핵심 역할을 하고 있다는 게 가슴 뿌듯한 일이 아닐 수 없다.,It is proud that Korean engineers are playing a key role in these works.
67,화장실은 건물 밖으로 가셔야 있습니다.,You need to go outside for the restroom.
68,"코레일에 따르면, 이날 오전 4시 30분께 대곡역에서 선로를 점검하던 차량이 멈춰 섰고, 이 여파로 지하철 대화∼구파발 운행에 차질이 빚어졌다.","According to KORAIL, the vehicle that had been checking the track at Daegok Station stopped at 4:30 AM on that day, and it disrupted the subway operation between Daehwa and Gupabal."
69,이 우유는 너무 시큼해졌어요.,This milk has turned sour.
70,다만 이 같은 글로벌 기업들의 생산시설 재편은 임시적인 자구 방편은 될 수 있지만 장기적인 해법은 아니라는 게 전문가들의 공통된 목소리다.,"However, the common voice from the experts is that such restructuring of production facilities by global enterprises may be temporary self-rescue measures but cannot be a long-term solution."
71,오늘은 엄마와 진원이랑 영화를 보러 갔어.,I went to see a movie with mom and Jinwon today.
72,위원회는 제2항에 따른 폐기대상 기록물 중 사료적 가치가 있다고 판단되는 기록물은 이관을 요청할 수 있다.,The Commission may request the transfer of records deemed to have the value of historic material among records subject to destruction under paragraph (2).
73,평창군은 부족한 농촌 인력 확보와 지속 가능한 농업·농촌을 위해 도시민의 농촌 인구 유입이 중요하다고 보고 예비 귀농귀촌인인 도시민의 이주를 적극적으로 유치할 계획이다.,"Pyeongchang-gun plans to actively attract the moving in of urban residents, who are prospective returnees, as it sees that it is important to bring in urban residents to rural areas in order to replenish insufficient rural workforce and ensure sustainable farming and farm villages."
74,김영석(91)씨와 양영애(83·여)씨 부부는 시가 200억 원 상당의 서울 청량리 소재 토지 5필지와 건물 4동을 고려대학교에 기부했다.,"Kim Young-seok, (91), and his wife Yang Young-ae, (83), donated five pieces of land and four buildings in Cheongryang-ri, Seoul, worth KRW 20 billion in market value, to Korea University."
75,지난 6월엔 영국의 유력 도박업체 래드브록스가 문 대통령과 김 위원장을 노벨평화상 수상 후보 1위로 예상하기도 했다.,"Last June, British leading gambling company Radbrox predicted President Moon and Chairman Kim as the No. 1 Nobel Peace Prize nominees."
76,"구청장은 양성평등 촉진, 여성의 사회참여 확대와 인권보호 및 권익증진을 위한 정책의 원활한 추진을 위하여 기금을 설치·운용한다.","The head of the Gu shall establish and operate the Fund for the smooth promotion of the policies to promote gender equality, increase women's social participation, protect human rights and promote women's rights and interests."
77,앞서 말했듯이 나의 장점 들은 공무원에 적합하다고 생각합니다.,"As I said before, I think my strengths suits to the qualification of public official."
78,황 전 총리가 각종 여론조사에서 선두를 달리고 있지만 탄핵된 박근혜정부의 국무총리였다는 건 그의 약점으로 꼽힌다.,"Although former Prime Minister Hwang is leading in various public opinion polls, the fact that he was the prime minister of the impeached Park Geun-hye administration is his weakness."
79,심사위원회가 정신질환자의 입원등 기간의 연장과 퇴원 등에 관한 재심사를 할 때에는 청구자의 입원 등을 결정하였던 위원과 청구자가 입원 등을 하고 있는 정신의료기관등에 소속된 위원은 제척된다.,"When the Review Committee reexamines the extension of the period of hospitalization or discharge of a mentally ill person, members who have decided on the hospitalization of a claimant and members belonging to a mental medical institution in which the claimant is hospitalized shall be excluded."
80,분단 후 처음으로 북한 정상이 한국을 방문한다.,"For the first time after the division, North Korean leader will visit South Korea."
81,여기서 주장하는 내용들은 언뜻 보면 과학적이여 보지만 사실 그렇지 않습니다.,"The argument here seems very scientific, but in fact it is not."
82,2000년 당시 개최한 이후 현재까지 행사가 실시되지 않고 있으나 향후 정부에서 추진 중인 낙동강 사업개발계획 추진시 유사한 행사로 재추진할 전망이 보인다.,"Although no events have been held since the event was held in 2000, it is expected to be re-promoted as a similar event in the future when the project development plan for the Nakdong River, which is being pursued by the government, is carried out."
83,"영 제36조제3항에 따른 군의 일반조정교부금은 인구비례와 시세징수율, 재정력지수에 따라 객관적인 방법으로 산정한다.","The general grants-in-aid of a Gun under Article 36 (3) of the Decree shall be calculated in an objective manner according to the proportion of the population, the collection rate of the City tax, and the financial independence index."
84,국가나 지역에서 가장 인기 있는 e스포츠 종목으로 가장 보고 싶은 매치업을 선정해 e스포츠 팬들이 꿈꾸는 최고의 승부를 실현시키는 글로벌 e스포츠 이벤트다.,It is a global e-sports event that enables e-sports fans to realize the best competition they dream of by selecting the matchmaking that they want to see the most as the most popular e-sports event in the country or region.
85,올해 자사고의 전형은 각 학교별 경쟁률에 따라 전형방법이 달라진다.,This year's selection method for the autonomous private high schools depends on the competition rate of each school.
86,경기도 관계자는 “이번 설명회를 통해 농식품 창업에 대해 관심 있는 분들이 경기도 지원사업과 경기도내 우수한 농산업 창업 인프라를 활용해 창업에 성공할 수 있는 기회를 가지기를 기대한다”고 말했다.,"An official from Gyeonggi-do said, ""Through this briefing session, we expect that those who are interested in starting agri-food will have the opportunity to succeed in business using the Gyeonggi-do support project and the excellent agricultural industry start-up infrastructure in Gyeonggi-do."""
87,한국사회의 다양한 이슈를 제 3자인 다국적 외신들의 시점으로 풀어보는 시사 버라이어티 tvN ‘외계통신’이 시청자들의 호평에 힘입어 정규 프로그램으로 돌아온다.,"The current affairs variety tvN's ""Foreign Communications,"" which unravels various issues in Korean society from the perspective of 3rd party multinational foreign media, will return to its regular program on the back of favorable reviews from viewers."
88,"한국 특집 편은 4회에도 이어질 예정이며, 4회에는 한국 런닝맨과 조우하는 모습이 방영될 예정이라 이와 같은 여세는 계속 이어질 것으로 보인다.","The Korean special edition will be continued in the fourth episode, and the fourth episode will air an encounter with a Korean Running Man, which is expected to continue its momentum."
89,"북에서 넘어온 풍산개 ‘곰이’가 낳은 새끼 여섯마리의 이름이 ‘산, 들, 강, 별, 달, 햇님’으로 확정됐다.","The names of the six pups born by ""Gomi', the Pungsan Dog from the north, have been named ``mountain, field, river, star, moon, sun."""
90,그런데 당신의 알람 소리에 잠이 깼습니다.,But I woke up because of your alarm.
91,강태구 부주방장은 “가격이 다른 제품들에 비해 비싸지만 가끔 사먹는다고 했을 때 조금 더 쓸 수 있을 법한 맛”이라고 평가했다.,"The price is higher than other dishes, but it is a taste that you can spend a little more when you pay for it sometimes, said Kang Tae-gu, a Sous-Chef."
92,"아뇨, 배송료는 따로 측정해서 별도로 안내해드릴 거예요.","No, we will determine the delivery fee separately and advise you separately."
93,그 장비를 제 바이크에 장착하려 합니다.,I'll mount the device onto my bike.
94,유명세만큼이나 음식과 서비스 모두 훌륭하네요.,The food and services are great as much as its popularity.
95,상호 지분율이 절반에 미치지 못하는 불안정한 지배구조에서 얼라이언스의 구심점 역할을 했던 곤 회장의 해임으로 실적악화를 우려하는 목소리가 나오고 있다.,"There is a voice of concern about performance deterioration due to the dismissal of Chairman Gon, who served as the center of the alliance in an unstable governance structure with less than half of the mutual ownership."
96,건설폐기물처리업자가 공사장 생활폐기물을 영업대상폐기물에 포함하고자 하는 경우 법 제22조에 따른 변경허가를 받아야 한다.,"Where a construction waste disposal business entity intends to include domestic waste from a construction site as wastes subject to business, he/she shall obtain approval for modification under Article 22 of the Act."
97,일단 바다엔 국경이 없다보니 후쿠시마 해역에 있던 수산물이 다른 국가의 해역에서 잡힐 수 있다는 우려가 많았다.,"Since there is no border in the sea, there have been many concerns that fisheries products from Fukushima could be caught in the waters of other countries."
98,김 수사관은 전날 현관 앞에 설치된 포토라인에서 “청와대의 범죄행위가 낱낱이 밝혀지기를 기대한다”며 심경을 고백했던 것과 달리 이날은 다른 통로를 통해 취재진과 접촉하지 않고 조사실로 향했다.,"Contrary to the confession made the same day at the photo line that was installed at the front door the day before, where Investigator Kim had said, ""I look forward to the revealing of all Cheong Wa Dae criminal activities"", investigator Kim headed straight for the investigation room this day, taking a different route to avoid contact with reporters."
99,북한의 군사 도발이 재개된다면 그동안 어렵게 쌓아올린 합의는 하루아침에 백지장이 되고 우리 군도 대응을 할 수밖에 없게 된다.,"If the North's military provocations resume, the hard-won agreement will become a blank sheet overnight and the South Korean military will have no choice but to respond."
100,대학 1학년에서는 기본적으로 여러 과목들을 배웁니다.,"When you are a freshman, you basically learn various subjects."
101,경찰과 소방당국은 김 씨가 암벽에서 발을 헛디뎌 사고가 난 것으로 추정하고 있으며 정확한 사고 경위를 조사 중이다.,"Police and fire authorities suspect that Kim lost his footing on the rock wall and caused the accident, and are investigating the exact circumstances."
102,나는 기술팀에 있는 챈이라고 합니다.,I'm Chan from the technical department.
103,편지 속의 그 문구는 자연스럽지 않습니다.,That words in the letter are not natural.
104,"인터넷을 통해 마음이 맞는 사람들끼리 그룹을 만들어서 한국어를 배우고, 모임을 갖고 만나면서 한국어로 대화를 나누는 사람들도 증가하고 있다.","There are also increasing numbers of people who learn Korean by forming a group of people that they like on the internet, and have a meeting and talk in Korean."
105,보건 당국은 이번 주에도 극심한 더위가 예상되는 만큼 온열 질환 발병을 막기 위해 주의를 기울여야 한다고 당부했다.,"The health authority requested to take caution to prevent the breakout of heatstrokes, as severe heat is expected for this week as well."
106,어쩌면 그 방법이 모두에게 공평하겠군요.,I guess that's fair.
107,"한국의 K-POP과 한국 드라마, 한국 영화 등 한류의 열풍은 한국에 대한 관심으로 이어져서 해마다 한국을 찾아오는 여행객들과 유학생들이 갈수록 늘고 있는 추세이다.","The Korean wave, such as Korean K-POP, Korean dramas, and Korean movies, has led to an interest in Korea, and more and more tourists and international students are visiting Korea every year."
108,교복도 잘 어울려서 행복한 마음을 갖고 있어.,The uniform fits me well so that I am happy about it.
109,그 교육 내용의 문제점을 놓고 김씨가 나서서 설명했다.,Kim went ahead and explained the problems of the educational content.
110,이 부회장과 박 전 대통령 사이에 승계 작업 등에 대한 묵시적 청탁이 인정된다고 판단한 것이다.,It was decided between the vice chairman Lee and former president Park there was an implicit request for succession work and more.
111,미안하지만 우리도 언제 배송되는지 확신할 수 없어.,Sorry but I'm not sure when it's delivered.
112,조례 제14조제1항에 따른 작품의 기증·기탁 신청 또는 소장품의 매도 신청은 별지 제14호서식에 따른다.,The application for donation and deposit of works or the application for sale of a collection under Article 14 (1) of the Ordinance shall be made in attached Form 14.
113,괜찮습니다. 신용카드 회사에 전화해서 영수증 보내달라고 하시면 됩니다.,That's okay. You can just ask the credit card company to send them to you.
114,한 민주당 의원은 “‘재벌 진입 규제를 더 많이 풀라’는 자유한국당 강경파 요구를 따라 민주당이 세차례 의총을 열고도 결국 거기에 따라가게 됐다”고 비판했다.,"A member of Democratic Party of Korea criticized that the party determined to follow the main opposition Liberty Korea Party's hard-line demand to `""unlock more restrictions on entering the chaebol"" even after the three rounds of parliamentary meetings."
115,2008년 올림픽 개최지인 베이징의 부동산 경기가 다소 주춤하고 있다는 분석 결과가 나왔다.,"Analysts say the real estate market in Beijing, the host city of the 2008 Olympics, slowing down a bit."
116,맨 처음 불은 전날 오후 7시17분쯤 고성군 토성면 원암리 미시령 아래 일성콘도 인근 도로와 인접한 야산에서 시작됐다.,"The first fire started at around 7:17 pm the previous day on a hill adjacent to a road near the Ilsung condo, which is beneath Misi-ryeong, Wonam-ri, Tosung-myeon, Goseong-gun."
117,공원에는 앉을 수 있는 벤치가 있습니다.,There are some available benches at the park.
118,이러한 명성에 걸맞게 그들이 뛰는 그라운드의 수준 또한 보장이 되어야 마땅할 것이다.,"In keeping with this reputation, the level of ground they run should also be guaranteed."
119,"수은은 성동·대우조선 등의 부실로 재무건전성이 급격히 악화하면서 2016년 지점과 해외사무소 축소, 임직원 연봉과 각종 경비감축 등 허리띠를 졸라매는 자구안을 실행해왔다.","The Export-Import Bank of Korea has implemented a self-rescue plan to tighten its belt, including downsizing branches and overseas offices in 2016 and reducing annual salaries for executives and employees and various expenses, as its financial health deteriorated sharply due to the insolvency of Seongdong and Daewoo Shipbuilding."
120,두 번째는 The point sign 제스쳐야.,Second one is the point sign gesture.
121,나는 지금 인터넷으로 방콕을 찾고 있어.,I am searching for Bangkok on the internet.
122,산지 가람에 속하는 운문사는 형태면에서는 평지 가람으로 배치되어 있다.,Unmunsa Temple is arranged on a flat land although it is belonged to the temple in a mountainous area.
123,이 행사는 관객들이 더 가까운 곳에서 블레어를 만날 수 있었던 좋은 기회이기도 했습니다.,This event was also a great opportunity for the audience to see Blair more closer.
124,"판빙빙, 크리스, 진학동 등이 출연해 화제를 모은 바 있다.","Pan Bing-Bing, Chris, and Jin Hak-dong appeared on the topic."
125,이 폭격으로 최대 17명이 사망했는데 이 중에 시리아의 미사일 개량을 위해 고용된 북한의 미사일 전문가가 포함됐다.,"This bombing killed up to 18 people, including a North Korean missile specialist who was hired to improve Syria's missiles."
126,이렇게 이야기를 해주는 것만으로 위로가 될 때가 있다.,Sometimes it is comforting to just tell the story.
127,"긴 하루를 보낸 후, 저는 지쳐서 바로 자고 싶지만, 잠자리에 들기 전에 피부 건강과 세수를 신경 써요.","After a long day, I am exhausted and want to go straight to bed, but I do care about my skin health and wash face before going to bed."
